Caja Nº;Materia Prima;Trazabilidad;Lote;Fecha de Ingreso;Observaciones
1;Arándanos Deshidratados Enteros;Muestra;OCT 1319 CL;2/1/2020;Bavosi- muestra
1;Trozos de Maíz desgerminados;6614;696;2/1/2020;
1;Trozos de Maíz desgerminados;6615;HOMA 60;6/1/2020;
1;Trozos de Maíz desgerminados;6616;1;6/1/2020;
1;Trozos de Maíz desgerminados;6621;093/19;6/1/2020;
1;Coco Rallado;6623;191360-4;7/1/2020;
1;Azucar Comun Tipo A;6624;7/12/2019;7/1/2020;
1;Glucosa;6626;1112;8/1/2020;
1;Miel de abejas;6627;8032;8/1/2020;
1;Lecitina de soja en polvo;6629;R56004260;8/1/2020;
1;Trozos de Maíz desgerminados;6628;095/19;8/1/2020;
1;Extracto de Malta en polvo;6630;217757;8/1/2020;
1;Trozos de Maíz desgerminados;6633;3;9/1/2020;
1;Trozos de Maíz desgerminados;6638;4;10/1/2020;
1;Azucar Comun Tipo A;6634;7/12/2019;9/1/2020;
1;Trozos de Maíz desgerminados;6640;6;13/1/2020;
1;Azucar Comun Tipo A;6641;81219;13/1/2020;
1;Azucar Comun Tipo A;6643;17/12/2024;14/1/2020;
1;Azucar Comun Tipo A;6645;17/12/2024;14/1/2020;
1;Trozos de Maíz desgerminados;6646;8;15/1/2020;
1;Trozos de Maíz desgerminados;6647;7;15/1/2020;
1;Trozos de Maíz desgerminados;M1;M1;15/1/2020;
1;Trozos de Maíz desgerminados;M2;M2;15/1/2020;
1;Trozos de Maíz desgerminados;6648;9;15/1/2020;
1;Trozos de Maíz desgerminados;6649;001/20;15/1/2020;
1;Trozos de Maíz desgerminados;6654;11;16/1/2020;
1;Trozos de Maíz desgerminados;;M3;16/1/2020;
1;Trozos de Maíz desgerminados;;M4;16/1/2020;
2;Trozos de Maíz desgerminados;jun-65;12;19/1/2020;
1;Azucar Comun Tipo A;6666;8/12/2024;20/1/2020;
1;Miel de abejas;6669;8043;20/1/2020;
